chemsep_index;component_name;cas_number;formula_chemsep;correlation_name;correlation_key;property_unit;eqno;A;B;C;D;E;Tmin_K;Tmax_K
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Antoine (Pa);antoine;Pa;10;21.075;3187;-53.379;;;366.15;536.5
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Heat of vaporization (J/kmol);heat_vaporization;J/kmol;106;50503000;0.64021;-1.1382;1.5379;-0.66031;236.5;602
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Ideal gas heat capacity (J/kmol/K);ideal_gas_cp;J/kmol/K;16;56506;-535.36;12.166;-0.00021958;4.8605e-08;236.5;1500
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Ideal gas heat capacity (RPP) (J/kmol/K);ideal_gas_cp_rpp;J/kmol/K;4;18491.19;309.57;-0.272542;9.27467e-05;;236.5;1200
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Liquid heat capacity (J/kmol/K);liquid_cp;J/kmol/K;16;121000;433.16;2.2235;0.034423;-4.0901e-05;236.5;300
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Liquid density (kmol/m3);liquid_density;kmol/m3;105;0.9055;0.25465;602;0.30987;;236.5;602
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Liquid thermal conductivity (W/m/K);liquid_thermal_conductivity;W/m/K;16;-0.027258;-78.724;-0.73941;-0.0030401;8.8565e-07;236.5;482
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Liquid viscosity (Pa.s);liquid_viscosity;Pa.s;101;-10.78972;1069;2.5992;-8.1378e-06;2;236.5;452
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Liquid viscosity (RPS) (Pa.s);liquid_viscosity_rps;Pa.s;27;0;0;0;0;0;0;0
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Relative static permittivity (_);relative_static_permittivity;_;120;-6.355533;-3750;-22.5;;;274.15;444.15
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Second virial coefficient (m3/kmol);second_virial;m3/kmol;104;0.18736;-244.22;-36.351;-1273;-10172;301;1500
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Solid heat capacity (J/kmol/K);solid_cp;J/kmol/K;100;654700;-14318;123.14;-0.43554;0.00055528;117.15;222.15
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Solid density (kmol/m3);solid_density;kmol/m3;2;14.57;-0.006887;;;;94.6;236.5
1524;1,1,2-Trichloroethane;79-00-5;CHCl2CH2Cl;Surface tension (N/m);surface_tension;N/m;16;-0.01087;126.61;-3.7929;0.0032685;-8.0616e-06;236.5;602
