time_s	P_bar	T_C	beta	Fout	M_Methane_kg	M_N-pentane_kg	M_Water_kg	E_J	dM_Methane_dt	dM_N-pentane_dt	dM_Water_dt	dE_dt_W	Qdot_W	Hdot_in_W	Hdot_out_W	Newton_it
0.000000	2.240919	100.000000	0.001276	0.000000	0.100000	1.000000	500.000000	-7811777434.680693	0.003208	0.021645	0.009008	-197609.187797	5000.000000	-202609.187797	-0.000000	0
1.000000	2.272182	99.998690	0.001294	0.000000	0.103208	1.021645	500.009008	-7811975043.540951	0.003208	0.021645	0.009008	-197608.532889	5000.654908	-202609.187797	-0.000000	1
2.000000	2.303424	99.997382	0.001312	0.000000	0.106417	1.043289	500.018015	-7812172651.746811	0.003208	0.021645	0.009008	-197607.879002	5001.308795	-202609.187797	-0.000000	1
3.000000	2.334646	99.996077	0.001330	0.000000	0.109625	1.064934	500.027023	-7812370259.299292	0.003208	0.021645	0.009008	-197607.226131	5001.961666	-202609.187797	-0.000000	1
4.000000	2.365846	99.994773	0.001348	0.000000	0.112834	1.086579	500.036031	-7812567866.199412	0.003208	0.021645	0.009008	-197606.574279	5002.613518	-202609.187797	-0.000000	1
5.000000	2.397026	99.993471	0.001366	0.000000	0.116042	1.108223	500.045038	-7812765472.448190	0.003208	0.021645	0.009008	-197605.923445	5003.264352	-202609.187797	-0.000000	1
6.000000	2.428185	99.992172	0.001385	0.000000	0.119251	1.129868	500.054046	-7812963078.046641	0.003208	0.021645	0.009008	-197605.273627	5003.914170	-202609.187797	-0.000000	1
7.000000	2.459323	99.990874	0.001403	0.000000	0.122459	1.151512	500.063053	-7813160682.995783	0.003208	0.021645	0.009008	-197604.624826	5004.562971	-202609.187797	-0.000000	1
8.000000	2.490440	99.989578	0.001421	0.000000	0.125668	1.173157	500.072061	-7813358287.296631	0.003208	0.021645	0.009008	-197603.977040	5005.210757	-202609.187797	-0.000000	1
9.000000	2.507530	99.986013	0.001431	0.000753	0.127714	1.183870	500.078491	-7813495628.243533	0.000820	-0.000776	0.003722	-74009.177324	5006.993585	-202609.187797	-123593.016889	3
